Id,States/UTs,JUNCTION,VEHICLE AGE,HUMAN AGE AND SEX,PERSON,AREA,TYPE OF PLACE,LOAD OF VEHICLE,TRAFFIC RULES VIOLATION,WEATHER,VEHICLE TYPE AND SEX,TYPE OF ROAD,LICENSE,TIME,ACCIDENT OCCURRENCE
351,Rajasthan,Staggered Junction,Age not known,Age not known - Female,Passengers,Market/Commercial Area,Urban,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Male,Ongoing Road Works/Under Construction,Without Licence,21-2400hrs - (Night),YES
352,Rajasthan,Staggered Junction,Age not known,Age not known - Female,Passengers,Open Area,Rural,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Female,Others,Without Licence,00-300hrs - (Night),YES
353,Sikkim,T-Junction,Less than 5 years,18 Yrs -Male,Drivers,Residential Area,Urban,Normally Loaded,Over-Speeding,Sunny/Clear,Pedestrian - Male,Straight Road,License Valid Permanent,06-0900hrs - (Day),NO
354,Sikkim,Y-Junction,5.1 - 10 Years,18 Yrs - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Pedestrian - Female,Curved Road,Learner's Licence,09-1200hrs - (Day),NO
355,Sikkim,Four arm Junction,10.1 - 15 Years,18-25 Yrs - Male,Drivers,Market/Commercial Area,Urban,Others,Driving on Wrong Side,Foggy & Misty,Bycycles - Male,Bridge,Without Licence,12-1500hrs - (Day),NO
356,Sikkim,Staggered Junction,> 15 Years,18-25 Yrs - Female,Passengers,Open Area,Rural,Normally Loaded,Jumping Red Light,Hail/Sleet,Bycycles - Female,Culvert,License Valid Permanent,15-1800hrs - (Day),NO
357,Sikkim,Round about Junction,Age not known,25-35 Yrs- Male,Drivers,Residential Area,Urban,Overloaded/Hangin,Use of Mobile Phone,Others,Two Wheelers - Male,Pot Holes,Learner's Licence,18-2100hrs - (Night),NO
358,Sikkim,Others,Less than 5 years,25-35 Yrs - Female,Passengers,Institutional Area,Rural,Others,Over-Speeding,Sunny/Clear,Two Wheelers - Female,Steep Grade,Without Licence,21-2400hrs - (Night),NO
359,Sikkim,T-Junction,5.1 - 10 Years,35-40 Yrs- Male,Drivers,Market/Commercial Area,Urban,Normally Loaded,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Auto Rickshaws - Male,Ongoing Road Works/Under Construction,License Valid Permanent,00-300hrs - (Night),NO
360,Sikkim,Y-Junction,10.1 - 15 Years,35-40 Yrs - Female,Passengers,Open Area,Rural,Overloaded/Hangin,Driving on Wrong Side,Foggy & Misty,Auto Rickshaws - Female,Others,Learner's Licence,03-600hrs - (Night),NO
361,Sikkim,Four arm Junction,> 15 Years,45-60 Yrs- Male,Drivers,Residential Area,Urban,Others,Jumping Red Light,Hail/Sleet,Cars & taxies Vans & LMV - Male,Straight Road,Without Licence,Unknown Time,NO
362,Sikkim,Staggered Junction,Age not known,45-60 Yrs- Female,Passengers,Institutional Area,Rural,Normally Loaded,Use of Mobile Phone,Others,Cars & taxies Vans & LMV - Female,Curved Road,License Valid Permanent,06-0900hrs - (Day),NO
363,Sikkim,Round about Junction,Less than 5 years,60 Yrs above- Male,Drivers,Market/Commercial Area,Urban,Overloaded/Hangin,Over-Speeding,Sunny/Clear,Trucks/Lorries - Male,Bridge,Learner's Licence,09-1200hrs - (Day),NO
364,Sikkim,Others,5.1 - 10 Years,60 Yrs above -Female,Passengers,Open Area,Rural,Others,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Trucks/Lorries - Female,Culvert,Without Licence,12-1500hrs - (Day),NO
365,Sikkim,Y-Junction,10.1 - 15 Years,Age not known - Male,Drivers,Residential Area,Urban,Normally Loaded,Driving on Wrong Side,Foggy & Misty,Buses - Male,Pot Holes,License Valid Permanent,15-1800hrs - (Day),NO
366,Sikkim,Four arm Junction,> 15 Years,Age not known - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Jumping Red Light,Hail/Sleet,Buses - Female,Steep Grade,Learner's Licence,18-2100hrs - (Night),NO
367,Sikkim,Staggered Junction,Age not known,Age not known - Female,Passengers,Market/Commercial Area,Urban,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Male,Ongoing Road Works/Under Construction,Without Licence,21-2400hrs - (Night),NO
368,Sikkim,Staggered Junction,Age not known,Age not known - Female,Passengers,Open Area,Rural,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Female,Others,Without Licence,00-300hrs - (Night),NO
369,Tamil Nadu,T-Junction,Less than 5 years,18 Yrs -Male,Drivers,Residential Area,Urban,Normally Loaded,Over-Speeding,Sunny/Clear,Pedestrian - Male,Straight Road,License Valid Permanent,06-0900hrs - (Day),YES
370,Tamil Nadu,Y-Junction,5.1 - 10 Years,18 Yrs - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Pedestrian - Female,Curved Road,Learner's Licence,09-1200hrs - (Day),YES
371,Tamil Nadu,Four arm Junction,10.1 - 15 Years,18-25 Yrs - Male,Drivers,Market/Commercial Area,Urban,Others,Driving on Wrong Side,Foggy & Misty,Bycycles - Male,Bridge,Without Licence,12-1500hrs - (Day),YES
372,Tamil Nadu,Staggered Junction,> 15 Years,18-25 Yrs - Female,Passengers,Open Area,Rural,Normally Loaded,Jumping Red Light,Hail/Sleet,Bycycles - Female,Culvert,License Valid Permanent,15-1800hrs - (Day),YES
373,Tamil Nadu,Round about Junction,Age not known,25-35 Yrs- Male,Drivers,Residential Area,Urban,Overloaded/Hangin,Use of Mobile Phone,Others,Two Wheelers - Male,Pot Holes,Learner's Licence,18-2100hrs - (Night),YES
374,Tamil Nadu,Others,Less than 5 years,25-35 Yrs - Female,Passengers,Institutional Area,Rural,Others,Over-Speeding,Sunny/Clear,Two Wheelers - Female,Steep Grade,Without Licence,21-2400hrs - (Night),YES
375,Tamil Nadu,T-Junction,5.1 - 10 Years,35-40 Yrs- Male,Drivers,Market/Commercial Area,Urban,Normally Loaded,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Auto Rickshaws - Male,Ongoing Road Works/Under Construction,License Valid Permanent,00-300hrs - (Night),YES
376,Tamil Nadu,Y-Junction,10.1 - 15 Years,35-40 Yrs - Female,Passengers,Open Area,Rural,Overloaded/Hangin,Driving on Wrong Side,Foggy & Misty,Auto Rickshaws - Female,Others,Learner's Licence,03-600hrs - (Night),YES
377,Tamil Nadu,Four arm Junction,> 15 Years,45-60 Yrs- Male,Drivers,Residential Area,Urban,Others,Jumping Red Light,Hail/Sleet,Cars & taxies Vans & LMV - Male,Straight Road,Without Licence,Unknown Time,YES
378,Tamil Nadu,Staggered Junction,Age not known,45-60 Yrs- Female,Passengers,Institutional Area,Rural,Normally Loaded,Use of Mobile Phone,Others,Cars & taxies Vans & LMV - Female,Curved Road,License Valid Permanent,06-0900hrs - (Day),YES
379,Tamil Nadu,Round about Junction,Less than 5 years,60 Yrs above- Male,Drivers,Market/Commercial Area,Urban,Overloaded/Hangin,Over-Speeding,Sunny/Clear,Trucks/Lorries - Male,Bridge,Learner's Licence,09-1200hrs - (Day),YES
380,Tamil Nadu,Others,5.1 - 10 Years,60 Yrs above -Female,Passengers,Open Area,Rural,Others,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Trucks/Lorries - Female,Culvert,Without Licence,12-1500hrs - (Day),YES
381,Tamil Nadu,Y-Junction,10.1 - 15 Years,Age not known - Male,Drivers,Residential Area,Urban,Normally Loaded,Driving on Wrong Side,Foggy & Misty,Buses - Male,Pot Holes,License Valid Permanent,15-1800hrs - (Day),YES
382,Tamil Nadu,Four arm Junction,> 15 Years,Age not known - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Jumping Red Light,Hail/Sleet,Buses - Female,Steep Grade,Learner's Licence,18-2100hrs - (Night),YES
383,Tamil Nadu,Staggered Junction,Age not known,Age not known - Female,Passengers,Market/Commercial Area,Urban,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Male,Ongoing Road Works/Under Construction,Without Licence,21-2400hrs - (Night),YES
384,Tamil Nadu,Staggered Junction,Age not known,Age not known - Female,Passengers,Open Area,Rural,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Female,Others,Without Licence,00-300hrs - (Night),YES
385,Telangana,T-Junction,Less than 5 years,18 Yrs -Male,Drivers,Residential Area,Urban,Normally Loaded,Over-Speeding,Sunny/Clear,Pedestrian - Male,Straight Road,License Valid Permanent,06-0900hrs - (Day),YES
386,Telangana,Y-Junction,5.1 - 10 Years,18 Yrs - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Pedestrian - Female,Curved Road,Learner's Licence,09-1200hrs - (Day),YES
387,Telangana,Four arm Junction,10.1 - 15 Years,18-25 Yrs - Male,Drivers,Market/Commercial Area,Urban,Others,Driving on Wrong Side,Foggy & Misty,Bycycles - Male,Bridge,Without Licence,12-1500hrs - (Day),NO
388,Telangana,Staggered Junction,> 15 Years,18-25 Yrs - Female,Passengers,Open Area,Rural,Normally Loaded,Jumping Red Light,Hail/Sleet,Bycycles - Female,Culvert,License Valid Permanent,15-1800hrs - (Day),YES
389,Telangana,Round about Junction,Age not known,25-35 Yrs- Male,Drivers,Residential Area,Urban,Overloaded/Hangin,Use of Mobile Phone,Others,Two Wheelers - Male,Pot Holes,Learner's Licence,18-2100hrs - (Night),YES
390,Telangana,Others,Less than 5 years,25-35 Yrs - Female,Passengers,Institutional Area,Rural,Others,Over-Speeding,Sunny/Clear,Two Wheelers - Female,Steep Grade,Without Licence,21-2400hrs - (Night),YES
391,Telangana,T-Junction,5.1 - 10 Years,35-40 Yrs- Male,Drivers,Market/Commercial Area,Urban,Normally Loaded,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Auto Rickshaws - Male,Ongoing Road Works/Under Construction,License Valid Permanent,00-300hrs - (Night),YES
392,Telangana,Y-Junction,10.1 - 15 Years,35-40 Yrs - Female,Passengers,Open Area,Rural,Overloaded/Hangin,Driving on Wrong Side,Foggy & Misty,Auto Rickshaws - Female,Others,Learner's Licence,03-600hrs - (Night),YES
393,Telangana,Four arm Junction,> 15 Years,45-60 Yrs- Male,Drivers,Residential Area,Urban,Others,Jumping Red Light,Hail/Sleet,Cars & taxies Vans & LMV - Male,Straight Road,Without Licence,Unknown Time,YES
394,Telangana,Staggered Junction,Age not known,45-60 Yrs- Female,Passengers,Institutional Area,Rural,Normally Loaded,Use of Mobile Phone,Others,Cars & taxies Vans & LMV - Female,Curved Road,License Valid Permanent,06-0900hrs - (Day),YES
395,Telangana,Round about Junction,Less than 5 years,60 Yrs above- Male,Drivers,Market/Commercial Area,Urban,Overloaded/Hangin,Over-Speeding,Sunny/Clear,Trucks/Lorries - Male,Bridge,Learner's Licence,09-1200hrs - (Day),YES
396,Telangana,Others,5.1 - 10 Years,60 Yrs above -Female,Passengers,Open Area,Rural,Others,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Trucks/Lorries - Female,Culvert,Without Licence,12-1500hrs - (Day),YES
397,Telangana,Y-Junction,10.1 - 15 Years,Age not known - Male,Drivers,Residential Area,Urban,Normally Loaded,Driving on Wrong Side,Foggy & Misty,Buses - Male,Pot Holes,License Valid Permanent,15-1800hrs - (Day),YES
398,Telangana,Four arm Junction,> 15 Years,Age not known - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Jumping Red Light,Hail/Sleet,Buses - Female,Steep Grade,Learner's Licence,18-2100hrs - (Night),NO
399,Telangana,Staggered Junction,Age not known,Age not known - Female,Passengers,Market/Commercial Area,Urban,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Male,Ongoing Road Works/Under Construction,Without Licence,21-2400hrs - (Night),YES
400,Telangana,Staggered Junction,Age not known,Age not known - Female,Passengers,Open Area,Rural,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Female,Others,Without Licence,00-300hrs - (Night),YES
401,Tripura,T-Junction,Less than 5 years,18 Yrs -Male,Drivers,Residential Area,Urban,Normally Loaded,Over-Speeding,Sunny/Clear,Pedestrian - Male,Straight Road,License Valid Permanent,06-0900hrs - (Day),NO
402,Tripura,Y-Junction,5.1 - 10 Years,18 Yrs - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Pedestrian - Female,Curved Road,Learner's Licence,09-1200hrs - (Day),NO
403,Tripura,Four arm Junction,10.1 - 15 Years,18-25 Yrs - Male,Drivers,Market/Commercial Area,Urban,Others,Driving on Wrong Side,Foggy & Misty,Bycycles - Male,Bridge,Without Licence,12-1500hrs - (Day),NO
404,Tripura,Staggered Junction,> 15 Years,18-25 Yrs - Female,Passengers,Open Area,Rural,Normally Loaded,Jumping Red Light,Hail/Sleet,Bycycles - Female,Culvert,License Valid Permanent,15-1800hrs - (Day),NO
405,Tripura,Round about Junction,Age not known,25-35 Yrs- Male,Drivers,Residential Area,Urban,Overloaded/Hangin,Use of Mobile Phone,Others,Two Wheelers - Male,Pot Holes,Learner's Licence,18-2100hrs - (Night),NO
406,Tripura,Others,Less than 5 years,25-35 Yrs - Female,Passengers,Institutional Area,Rural,Others,Over-Speeding,Sunny/Clear,Two Wheelers - Female,Steep Grade,Without Licence,21-2400hrs - (Night),NO
407,Tripura,T-Junction,5.1 - 10 Years,35-40 Yrs- Male,Drivers,Market/Commercial Area,Urban,Normally Loaded,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Auto Rickshaws - Male,Ongoing Road Works/Under Construction,License Valid Permanent,00-300hrs - (Night),NO
408,Tripura,Y-Junction,10.1 - 15 Years,35-40 Yrs - Female,Passengers,Open Area,Rural,Overloaded/Hangin,Driving on Wrong Side,Foggy & Misty,Auto Rickshaws - Female,Others,Learner's Licence,03-600hrs - (Night),NO
409,Tripura,Four arm Junction,> 15 Years,45-60 Yrs- Male,Drivers,Residential Area,Urban,Others,Jumping Red Light,Hail/Sleet,Cars & taxies Vans & LMV - Male,Straight Road,Without Licence,Unknown Time,NO
410,Tripura,Staggered Junction,Age not known,45-60 Yrs- Female,Passengers,Institutional Area,Rural,Normally Loaded,Use of Mobile Phone,Others,Cars & taxies Vans & LMV - Female,Curved Road,License Valid Permanent,06-0900hrs - (Day),NO
411,Tripura,Round about Junction,Less than 5 years,60 Yrs above- Male,Drivers,Market/Commercial Area,Urban,Overloaded/Hangin,Over-Speeding,Sunny/Clear,Trucks/Lorries - Male,Bridge,Learner's Licence,09-1200hrs - (Day),NO
412,Tripura,Others,5.1 - 10 Years,60 Yrs above -Female,Passengers,Open Area,Rural,Others,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Trucks/Lorries - Female,Culvert,Without Licence,12-1500hrs - (Day),NO
413,Tripura,Y-Junction,10.1 - 15 Years,Age not known - Male,Drivers,Residential Area,Urban,Normally Loaded,Driving on Wrong Side,Foggy & Misty,Buses - Male,Pot Holes,License Valid Permanent,15-1800hrs - (Day),NO
414,Tripura,Four arm Junction,> 15 Years,Age not known - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Jumping Red Light,Hail/Sleet,Buses - Female,Steep Grade,Learner's Licence,18-2100hrs - (Night),NO
415,Tripura,Staggered Junction,Age not known,Age not known - Female,Passengers,Market/Commercial Area,Urban,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Male,Ongoing Road Works/Under Construction,Without Licence,21-2400hrs - (Night),NO
416,Tripura,Staggered Junction,Age not known,Age not known - Female,Passengers,Open Area,Rural,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Female,Others,Without Licence,00-300hrs - (Night),NO
417,Uttarakhand,T-Junction,Less than 5 years,18 Yrs -Male,Drivers,Residential Area,Urban,Normally Loaded,Over-Speeding,Sunny/Clear,Pedestrian - Male,Straight Road,License Valid Permanent,06-0900hrs - (Day),NO
418,Uttarakhand,Y-Junction,5.1 - 10 Years,18 Yrs - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Pedestrian - Female,Curved Road,Learner's Licence,09-1200hrs - (Day),NO
419,Uttarakhand,Four arm Junction,10.1 - 15 Years,18-25 Yrs - Male,Drivers,Market/Commercial Area,Urban,Others,Driving on Wrong Side,Foggy & Misty,Bycycles - Male,Bridge,Without Licence,12-1500hrs - (Day),NO
420,Uttarakhand,Staggered Junction,> 15 Years,18-25 Yrs - Female,Passengers,Open Area,Rural,Normally Loaded,Jumping Red Light,Hail/Sleet,Bycycles - Female,Culvert,License Valid Permanent,15-1800hrs - (Day),NO
421,Uttarakhand,Round about Junction,Age not known,25-35 Yrs- Male,Drivers,Residential Area,Urban,Overloaded/Hangin,Use of Mobile Phone,Others,Two Wheelers - Male,Pot Holes,Learner's Licence,18-2100hrs - (Night),NO
422,Uttarakhand,Others,Less than 5 years,25-35 Yrs - Female,Passengers,Institutional Area,Rural,Others,Over-Speeding,Sunny/Clear,Two Wheelers - Female,Steep Grade,Without Licence,21-2400hrs - (Night),NO
423,Uttarakhand,T-Junction,5.1 - 10 Years,35-40 Yrs- Male,Drivers,Market/Commercial Area,Urban,Normally Loaded,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Auto Rickshaws - Male,Ongoing Road Works/Under Construction,License Valid Permanent,00-300hrs - (Night),NO
424,Uttarakhand,Y-Junction,10.1 - 15 Years,35-40 Yrs - Female,Passengers,Open Area,Rural,Overloaded/Hangin,Driving on Wrong Side,Foggy & Misty,Auto Rickshaws - Female,Others,Learner's Licence,03-600hrs - (Night),NO
425,Uttarakhand,Four arm Junction,> 15 Years,45-60 Yrs- Male,Drivers,Residential Area,Urban,Others,Jumping Red Light,Hail/Sleet,Cars & taxies Vans & LMV - Male,Straight Road,Without Licence,Unknown Time,NO
426,Uttarakhand,Staggered Junction,Age not known,45-60 Yrs- Female,Passengers,Institutional Area,Rural,Normally Loaded,Use of Mobile Phone,Others,Cars & taxies Vans & LMV - Female,Curved Road,License Valid Permanent,06-0900hrs - (Day),NO
427,Uttarakhand,Round about Junction,Less than 5 years,60 Yrs above- Male,Drivers,Market/Commercial Area,Urban,Overloaded/Hangin,Over-Speeding,Sunny/Clear,Trucks/Lorries - Male,Bridge,Learner's Licence,09-1200hrs - (Day),NO
428,Uttarakhand,Others,5.1 - 10 Years,60 Yrs above -Female,Passengers,Open Area,Rural,Others,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Trucks/Lorries - Female,Culvert,Without Licence,12-1500hrs - (Day),NO
429,Uttarakhand,Y-Junction,10.1 - 15 Years,Age not known - Male,Drivers,Residential Area,Urban,Normally Loaded,Driving on Wrong Side,Foggy & Misty,Buses - Male,Pot Holes,License Valid Permanent,15-1800hrs - (Day),NO
430,Uttarakhand,Four arm Junction,> 15 Years,Age not known - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Jumping Red Light,Hail/Sleet,Buses - Female,Steep Grade,Learner's Licence,18-2100hrs - (Night),NO
431,Uttarakhand,Staggered Junction,Age not known,Age not known - Female,Passengers,Market/Commercial Area,Urban,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Male,Ongoing Road Works/Under Construction,Without Licence,21-2400hrs - (Night),NO
432,Uttarakhand,Staggered Junction,Age not known,Age not known - Female,Passengers,Open Area,Rural,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Female,Others,Without Licence,00-300hrs - (Night),NO
433,Uttar Pradesh,T-Junction,Less than 5 years,18 Yrs -Male,Drivers,Residential Area,Urban,Normally Loaded,Over-Speeding,Sunny/Clear,Pedestrian - Male,Straight Road,License Valid Permanent,06-0900hrs - (Day),YES
434,Uttar Pradesh,Y-Junction,5.1 - 10 Years,18 Yrs - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Pedestrian - Female,Curved Road,Learner's Licence,09-1200hrs - (Day),YES
435,Uttar Pradesh,Four arm Junction,10.1 - 15 Years,18-25 Yrs - Male,Drivers,Market/Commercial Area,Urban,Others,Driving on Wrong Side,Foggy & Misty,Bycycles - Male,Bridge,Without Licence,12-1500hrs - (Day),YES
436,Uttar Pradesh,Staggered Junction,> 15 Years,18-25 Yrs - Female,Passengers,Open Area,Rural,Normally Loaded,Jumping Red Light,Hail/Sleet,Bycycles - Female,Culvert,License Valid Permanent,15-1800hrs - (Day),YES
437,Uttar Pradesh,Round about Junction,Age not known,25-35 Yrs- Male,Drivers,Residential Area,Urban,Overloaded/Hangin,Use of Mobile Phone,Others,Two Wheelers - Male,Pot Holes,Learner's Licence,18-2100hrs - (Night),YES
438,Uttar Pradesh,Others,Less than 5 years,25-35 Yrs - Female,Passengers,Institutional Area,Rural,Others,Over-Speeding,Sunny/Clear,Two Wheelers - Female,Steep Grade,Without Licence,21-2400hrs - (Night),YES
439,Uttar Pradesh,T-Junction,5.1 - 10 Years,35-40 Yrs- Male,Drivers,Market/Commercial Area,Urban,Normally Loaded,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Auto Rickshaws - Male,Ongoing Road Works/Under Construction,License Valid Permanent,00-300hrs - (Night),YES
440,Uttar Pradesh,Y-Junction,10.1 - 15 Years,35-40 Yrs - Female,Passengers,Open Area,Rural,Overloaded/Hangin,Driving on Wrong Side,Foggy & Misty,Auto Rickshaws - Female,Others,Learner's Licence,03-600hrs - (Night),YES
441,Uttar Pradesh,Four arm Junction,> 15 Years,45-60 Yrs- Male,Drivers,Residential Area,Urban,Others,Jumping Red Light,Hail/Sleet,Cars & taxies Vans & LMV - Male,Straight Road,Without Licence,Unknown Time,YES
442,Uttar Pradesh,Staggered Junction,Age not known,45-60 Yrs- Female,Passengers,Institutional Area,Rural,Normally Loaded,Use of Mobile Phone,Others,Cars & taxies Vans & LMV - Female,Curved Road,License Valid Permanent,06-0900hrs - (Day),YES
443,Uttar Pradesh,Round about Junction,Less than 5 years,60 Yrs above- Male,Drivers,Market/Commercial Area,Urban,Overloaded/Hangin,Over-Speeding,Sunny/Clear,Trucks/Lorries - Male,Bridge,Learner's Licence,09-1200hrs - (Day),YES
444,Uttar Pradesh,Others,5.1 - 10 Years,60 Yrs above -Female,Passengers,Open Area,Rural,Others,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Trucks/Lorries - Female,Culvert,Without Licence,12-1500hrs - (Day),YES
445,Uttar Pradesh,Y-Junction,10.1 - 15 Years,Age not known - Male,Drivers,Residential Area,Urban,Normally Loaded,Driving on Wrong Side,Foggy & Misty,Buses - Male,Pot Holes,License Valid Permanent,15-1800hrs - (Day),YES
446,Uttar Pradesh,Four arm Junction,> 15 Years,Age not known - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Jumping Red Light,Hail/Sleet,Buses - Female,Steep Grade,Learner's Licence,18-2100hrs - (Night),YES
447,Uttar Pradesh,Staggered Junction,Age not known,Age not known - Female,Passengers,Market/Commercial Area,Urban,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Male,Ongoing Road Works/Under Construction,Without Licence,21-2400hrs - (Night),YES
448,Uttar Pradesh,Staggered Junction,Age not known,Age not known - Female,Passengers,Open Area,Rural,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Female,Others,Without Licence,00-300hrs - (Night),YES
449,West Bengal,T-Junction,Less than 5 years,18 Yrs -Male,Drivers,Residential Area,Urban,Normally Loaded,Over-Speeding,Sunny/Clear,Pedestrian - Male,Straight Road,License Valid Permanent,06-0900hrs - (Day),NO
450,West Bengal,Y-Junction,5.1 - 10 Years,18 Yrs - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Pedestrian - Female,Curved Road,Learner's Licence,09-1200hrs - (Day),NO
451,West Bengal,Four arm Junction,10.1 - 15 Years,18-25 Yrs - Male,Drivers,Market/Commercial Area,Urban,Others,Driving on Wrong Side,Foggy & Misty,Bycycles - Male,Bridge,Without Licence,12-1500hrs - (Day),NO
452,West Bengal,Staggered Junction,> 15 Years,18-25 Yrs - Female,Passengers,Open Area,Rural,Normally Loaded,Jumping Red Light,Hail/Sleet,Bycycles - Female,Culvert,License Valid Permanent,15-1800hrs - (Day),NO
453,West Bengal,Round about Junction,Age not known,25-35 Yrs- Male,Drivers,Residential Area,Urban,Overloaded/Hangin,Use of Mobile Phone,Others,Two Wheelers - Male,Pot Holes,Learner's Licence,18-2100hrs - (Night),NO
454,West Bengal,Others,Less than 5 years,25-35 Yrs - Female,Passengers,Institutional Area,Rural,Others,Over-Speeding,Sunny/Clear,Two Wheelers - Female,Steep Grade,Without Licence,21-2400hrs - (Night),NO
455,West Bengal,T-Junction,5.1 - 10 Years,35-40 Yrs- Male,Drivers,Market/Commercial Area,Urban,Normally Loaded,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Auto Rickshaws - Male,Ongoing Road Works/Under Construction,License Valid Permanent,00-300hrs - (Night),NO
456,West Bengal,Y-Junction,10.1 - 15 Years,35-40 Yrs - Female,Passengers,Open Area,Rural,Overloaded/Hangin,Driving on Wrong Side,Foggy & Misty,Auto Rickshaws - Female,Others,Learner's Licence,03-600hrs - (Night),NO
457,West Bengal,Four arm Junction,> 15 Years,45-60 Yrs- Male,Drivers,Residential Area,Urban,Others,Jumping Red Light,Hail/Sleet,Cars & taxies Vans & LMV - Male,Straight Road,Without Licence,Unknown Time,YES
458,West Bengal,Staggered Junction,Age not known,45-60 Yrs- Female,Passengers,Institutional Area,Rural,Normally Loaded,Use of Mobile Phone,Others,Cars & taxies Vans & LMV - Female,Curved Road,License Valid Permanent,06-0900hrs - (Day),NO
459,West Bengal,Round about Junction,Less than 5 years,60 Yrs above- Male,Drivers,Market/Commercial Area,Urban,Overloaded/Hangin,Over-Speeding,Sunny/Clear,Trucks/Lorries - Male,Bridge,Learner's Licence,09-1200hrs - (Day),NO
460,West Bengal,Others,5.1 - 10 Years,60 Yrs above -Female,Passengers,Open Area,Rural,Others,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Trucks/Lorries - Female,Culvert,Without Licence,12-1500hrs - (Day),NO
461,West Bengal,Y-Junction,10.1 - 15 Years,Age not known - Male,Drivers,Residential Area,Urban,Normally Loaded,Driving on Wrong Side,Foggy & Misty,Buses - Male,Pot Holes,License Valid Permanent,15-1800hrs - (Day),NO
462,West Bengal,Four arm Junction,> 15 Years,Age not known - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Jumping Red Light,Hail/Sleet,Buses - Female,Steep Grade,Learner's Licence,18-2100hrs - (Night),NO
463,West Bengal,Staggered Junction,Age not known,Age not known - Female,Passengers,Market/Commercial Area,Urban,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Male,Ongoing Road Works/Under Construction,Without Licence,21-2400hrs - (Night),NO
464,West Bengal,Staggered Junction,Age not known,Age not known - Female,Passengers,Open Area,Rural,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Female,Others,Without Licence,00-300hrs - (Night),NO
465,A & N Islands,T-Junction,Less than 5 years,18 Yrs -Male,Drivers,Residential Area,Urban,Normally Loaded,Over-Speeding,Sunny/Clear,Pedestrian - Male,Straight Road,License Valid Permanent,06-0900hrs - (Day),NO
466,A & N Islands,Y-Junction,5.1 - 10 Years,18 Yrs - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Pedestrian - Female,Curved Road,Learner's Licence,09-1200hrs - (Day),NO
467,A & N Islands,Four arm Junction,10.1 - 15 Years,18-25 Yrs - Male,Drivers,Market/Commercial Area,Urban,Others,Driving on Wrong Side,Foggy & Misty,Bycycles - Male,Bridge,Without Licence,12-1500hrs - (Day),NO
